"Date","Result","WhiteElo","BlackElo","NMoves","game_id","Player","Name"
"2021.06.07","Jan-00",2474,2299,25,16058790,"BlackPlayerName","Polina Shuvalova"
"2021.06.07","0-1",2452,2201,35,16058792,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2452,2201,35,16058792,"BlackPlayerName","Jonas Buhl Bjerre"
"2021.06.07","Jan-00",2436,2446,29,16058796,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2446,29,16058796,"BlackPlayerName","Thai Dai Van Nguyen"
"2021.06.07","Jan-00",2446,2436,53,16058804,"WhitePlayerName","Thai Dai Van Nguyen"
"2021.06.07","Jan-00",2446,2436,53,16058804,"BlackPlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2436,2446,78,16058806,"WhitePlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2436,2446,78,16058806,"BlackPlayerName","Thai Dai Van Nguyen"
"2021.06.07","Jan-00",2452,2474,64,16058808,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","Jan-00",2452,2474,64,16058808,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2452,2201,27,16058810,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","Jan-00",2452,2201,27,16058810,"BlackPlayerName","Jonas Buhl Bjerre"
"2021.06.07","Jan-00",2452,2201,38,16058814,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","Jan-00",2452,2201,38,16058814,"BlackPlayerName","Jonas Buhl Bjerre"
"2021.06.07","0-1",2446,2436,69,16058816,"WhitePlayerName","Thai Dai Van Nguyen"
"2021.06.07","0-1",2446,2436,69,16058816,"BlackPlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2474,2299,45,16058822,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2299,45,16058822,"BlackPlayerName","Polina Shuvalova"
"2021.06.07","Jan-00",2436,2446,26,16058824,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2446,26,16058824,"BlackPlayerName","Thai Dai Van Nguyen"
"2021.06.07","0-1",2446,2436,23,16058828,"WhitePlayerName","Thai Dai Van Nguyen"
"2021.06.07","0-1",2446,2436,23,16058828,"BlackPlayerName","Denis Lazavik"
"2021.06.07","0-1",2446,2436,35,16058830,"WhitePlayerName","Thai Dai Van Nguyen"
"2021.06.07","0-1",2446,2436,35,16058830,"BlackPlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2446,75,16058832,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2446,75,16058832,"BlackPlayerName","Thai Dai Van Nguyen"
